Product Code;UnitPrice;IsActive;Product2Id;Pricebook2Id;UseStandardPrice
FUR-BO-10000112;825,174;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10000330;411,332;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10000362;290,666;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10000468;155,456;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10000711;212,94;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10000780;301,47;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10001337;205,666;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10001519;523,26;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10001567;90,882;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10001601;222,666;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10001608;193,0656;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10001619;339,92;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10001798;556,665;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10001811;1227,9984;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10001918;482,94;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10001972;181,47;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10002202;72,294;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10002206;119,833;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10002213;801,568;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10002213;704,9;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10002268;145,764;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10002545;521,96;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10002598;283,92;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10002613;1573,488;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10002824;301,96;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10002853;131,104;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10002916;1367,84;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10003034;333,999;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10003159;275,952;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10003272;353,568;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10003404;1292,94;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10003433;61,96;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10003441;257,499;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10003450;69,576;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10003546;424,116;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10003660;66,294;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10003893;586,398;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10003894;198,744;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10003965;369,1992;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10003966;290,666;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10004015;305,9745;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10004218;1198,33;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10004357;1406,86;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10004360;160,98;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10004409;141,96;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10004467;349,965;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10004690;384,944;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10004695;452,45;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10004709;231,92;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-BO-10004834;3083,43;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-CH-10000015;1212,96;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-CH-10000155;478,48;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-CH-10000225;129,568;TRUE;;01sS8000003bnhZIAQ;FALSE
FUR-CH-10000229;433,568;TRUE;;01sS8000003bnhZIAQ;FALSE
